key_resp.corr,key_resp.rt,,,seqRT,ranRT,,,
0,1.0896589,,,1.0896589,0.7890901,,,
0,0.9872916,,,0.9872916,1.2423072,,,
0,1.7540112,,,1.7540112,1.0536953,,,
1,0.6883541,,,0.6883541,2.2852241,,,
0,0.6744661,,,0.6744661,1.4270561,,,
0,1.057067,,,1.057067,0.905589,,,
0,0.2787891,,,0.2787891,0.5243575,,,
1,0.3236603,,,0.3236603,0.644166,,,
0,0.4407748,,,0.4407748,0.6745816,,,
0,1.0529527,,,1.0529527,3.8740893,,,
0,0.3176798,,,0.3176798,0.8435586,,,
1,0.2973071,,,0.2973071,1.0760838,,,
0,0.4820126,,,0.4820126,1.6227092,,,
0,0.4230901,,,0.4230901,0.9826799,,,
0,0.234284,,,0.234284,1.5822766,,,
1,0.2791886,,,0.2791886,0.6719687,,,
0,1.142179,,,1.142179,0.7438057,,,
0,0.333315,,,0.333315,0.782818,,,
0,0.3393714,,,0.3393714,1.4573194,, AVG seqRT,AVG ranRT
1,0.4303809,,,0.4303809,0.6138177,,0.516852851,1.239827307
0,0.7170228,,,0.7170228,0.838036,,,
0,0.4988029,,,0.4988029,0.5063723,,Difference,
0,0.7598111,,,0.7598111,0.8722501,,-0.722974455,
1,0.2921472,,,0.2921472,1.0250008,,,
0,0.3613918,,,0.3613918,0.7511318,,,
0,0.2741865,,,0.2741865,0.7699512,,,
0,0.6232758,,,0.6232758,1.5812148,,,
1,0.2853478,,,0.2853478,1.0649789,,,
0,0.6275923,,,0.6275923,1.23585,,,
0,0.2838907,,,0.2838907,0.8142017,,,
0,0.9295553,,,0.9295553,1.4726145,,,
1,0.4545441,,,0.4545441,2.3752697,,,
0,0.3075403,,,0.3075403,1.7459691,,,
0,0.6366636,,,0.6366636,1.0071477,,,
0,0.6810039,,,0.6810039,1.3876884,,,
1,0.2216409,,,0.2216409,1.4302347,,,
0,0.5551906,,,0.5551906,0.5488964,,,
0,0.323329,,,0.323329,0.9735579,,,
0,0.3451531,,,0.3451531,1.8228367,,,
1,0.3155624,,,0.3155624,1.4296513,,,
0,0.4741684,,,0.4741684,0.6757747,,,
1,2.2296204,,,2.2296204,1.2010043,,,
0,1.9037638,,,1.9037638,0.2336871,,,
1,0.2898318,,,0.2898318,1.003339,,,
0,0.6198021,,,0.6198021,0.7337589,,,
0,0.3848187,,,0.3848187,0.554299,,,
0,0.2571069,,,0.2571069,0.8762742,,,
1,0.2595225,,,0.2595225,0.8957421,,,
0,0.3239107,,,0.3239107,1.3826023,,,
0,0.4330213,,,0.4330213,0.5814867,,,
0,0.3530644,,,0.3530644,1.1455149,,,
1,0.2602779,,,0.2602779,0.6137729,,,
0,0.2542732,,,0.2542732,0.5590316,,,
0,0.6941085,,,0.6941085,0.7665291,,,
0,0.5665704,,,0.5665704,1.5133394,,,
1,0.2751198,,,0.2751198,0.8896395,,,
0,0.51747,,,0.51747,1.041362,,,
0,0.4202714,,,0.4202714,1.2228586,,,
0,0.3218558,,,0.3218558,0.7330008,,,
1,0.2475892,,,0.2475892,1.7285834,,,
0,0.3697677,,,0.3697677,0.9092851,,,
0,0.4074978,,,0.4074978,0.89722,,,
0,0.6884909,,,0.6884909,1.1320381,,,
1,0.2779824,,,0.2779824,0.8776033,,,
0,1.4688595,,,1.4688595,1.6619635,,,
0,0.9937644,,,0.9937644,1.2734767,,,
0,0.9252065,,,0.9252065,0.5528081,,,
1,0.3586006,,,0.3586006,0.7831573,,,
0,0.9374033,,,0.9374033,1.4334215,,,
0,0.3215712,,,0.3215712,1.0797321,,,
0,0.3382799,,,0.3382799,1.0351983,,,
1,0.3430521,,,0.3430521,1.5433531,,,
0,2.6136423,,,2.6136423,1.3643914,,,
0,0.4128748,,,0.4128748,1.4196831,,,
0,0.4339023,,,0.4339023,1.0968017,,,
1,0.297093,,,0.297093,0.5525177,,,
0,0.7462675,,,0.7462675,0.8423152,,,
0,0.4922364,,,0.4922364,0.4343454,,,
0,1.0485504,,,1.0485504,0.7722556,,,
1,0.2700639,,,0.2700639,1.0175621,,,
0,1.1075332,,,1.1075332,0.5802549,,,
0,0.2608711,,,0.2608711,0.6830109,,,
0,0.3794033,,,0.3794033,1.8563756,,,
1,0.2703616,,,0.2703616,2.5913259,,,
0,0.722026,,,0.722026,1.1201003,,,
0,0.3831989,,,0.3831989,1.0962773,,,
0,0.5624318,,,0.5624318,2.0708313,,,
1,0.2802017,,,0.2802017,1.036545,,,
0,0.7706885,,,0.7706885,0.4630975,,,
0,0.7179757,,,0.7179757,1.8744025,,,
0,0.6086392,,,0.6086392,0.8246193,,,
1,0.2373567,,,0.2373567,2.0325358,,,
0,0.5708699,,,0.5708699,1.1399263,,,
0,0.2916765,,,0.2916765,1.384461,,,
0,0.6151351,,,0.6151351,3.3278223,,,
1,0.049208,,,0.049208,1.4647631,,,
0,0.6682513,,,0.6682513,0.833369,,,
0,1.7251019,,,1.7251019,0.3841796,,,
0,0.4243442,,,0.4243442,2.9590006,,,
1,0.2974255,,,0.2974255,2.9398125,,,
1,0.3912349,,,0.3912349,1.0225672,,,
0,0.3058676,,,0.3058676,1.279233,,,
0,0.4662012,,,0.4662012,1.2190448,,,
1,0.2811632,,,0.2811632,0.7146142,,,
0,0.6627898,,,0.6627898,1.1806404,,,
0,0.3972342,,,0.3972342,1.2985788,,,
0,0.2537412,,,0.2537412,0.7525229,,,
1,0.3056604,,,0.3056604,0.8625763,,,
0,0.7623624,,,0.7623624,0.7209638,,,
0,0.0782128,,,0.0782128,0.8327012,,,
0,0.2494599,,,0.2494599,1.0708058,,,
1,0.2387607,,,0.2387607,1.6091933,,,
0,0.3491903,,,0.3491903,0.6766589,,,
0,0.2785629,,,0.2785629,0.9033203,,,
0,0.7480178,,,0.7480178,0.9579159,,,
1,0.2429683,,,0.2429683,0.5922151,,,
0,0.7611946,,,0.7611946,0.8422969,,,
0,0.1498749,,,0.1498749,2.1796901,,,
0,0.253058,,,0.253058,1.819906,,,
1,0.3106317,,,0.3106317,1.0336032,,,
0,0.5210312,,,0.5210312,2.3137784,,,
0,0.1821065,,,0.1821065,1.5730298,,,
0,0.2979504,,,0.2979504,1.0962071,,,
1,0.228617,,,0.228617,1.6082845,,,
0,0.793145,,,0.793145,1.5074358,,,
0,0.2796338,,,0.2796338,2.2076533,,,
0,0.3439034,,,0.3439034,1.1641987,,,
1,0.3802761,,,0.3802761,1.125937,,,
0,0.336692,,,0.336692,1.0105996,,,
0,0.2970703,,,0.2970703,0.6972884,,,
0,0.4138928,,,0.4138928,1.0338628,,,
1,0.3130303,,,0.3130303,0.9033149,,,
0,0.6739946,,,0.6739946,0.9526396,,,
0,0.2925731,,,0.2925731,0.9061445,,,
0,0.2736818,,,0.2736818,1.1028607,,,
1,0.2282609,,,0.2282609,1.0062271,,,
0,0.6529223,,,0.6529223,0.7233131,,,
0,0.3060364,,,0.3060364,1.1078839,,,
0,0.3715735,,,0.3715735,1.4108838,,,
1,0.2518692,,,0.2518692,0.8059435,,,
0,0.6033271,,,0.6033271,0.9882452,,,
0,0.5582729,,,0.5582729,1.9354145,,,
0,0.7319615,,,0.7319615,2.4519238,,,
1,0.2766323,,,0.2766323,1.4362087,,,
0,0.9866683,,,0.9866683,1.6997637,,,
0,0.7708509,,,0.7708509,1.7206491,,,
0,0.5237493,,,0.5237493,0.9611445,,,
1,0.2598912,,,0.2598912,2.2354917,,,
0,0.5180292,,,0.5180292,1.1804786,,,
0,0.4224461,,,0.4224461,0.7411464,,,
0,0.3308488,,,0.3308488,2.7046557,,,
1,0.3444031,,,0.3444031,1.1826877,,,
0,0.9051833,,,0.9051833,3.8552235,,,
0,0.3566361,,,0.3566361,1.2962044,,,
0,0.8974408,,,0.8974408,0.8054694,,,
1,0.3931166,,,0.3931166,2.0475183,,,
0,1.2798558,,,1.2798558,4.0201633,,,
0,0.5380198,,,0.5380198,1.1118584,,,
0,0.2812759,,,0.2812759,0.9502062,,,
1,0.2971045,,,0.2971045,0.7428066,,,
0,0.8010971,,,0.8010971,1.0796226,,,
0,0.3197989,,,0.3197989,0.7597285,,,
0,0.7828719,,,0.7828719,1.3131314,,,
1,0.268081,,,0.268081,0.6739182,,,
0,0.3869176,,,0.3869176,1.1278149,,,
0,0.329772,,,0.329772,0.8362398,,,
0,0.5135741,,,0.5135741,1.1986847,,,
1,0.26605,,,0.26605,1.5386836,,,
0,0.2804023,,,0.2804023,0.995302,,,
0,0.6487992,,,0.6487992,0.8656768,,,
0,0.4862766,,,0.4862766,1.1967311,,,
1,0.2849514,,,0.2849514,2.6569703,,,
0,0.568058,,,0.568058,1.8743469,,,
0,0.2753655,,,0.2753655,3.233266,,,
0,0.4067326,,,0.4067326,1.3086654,,,
1,0.2760386,,,0.2760386,1.4017604,,,
0,0.4679122,,,0.4679122,1.3339513,,,
0,0.3609286,,,0.3609286,0.5734269,,,
0,0.3233037,,,0.3233037,3.0980865,,,
1,0.2944683,,,0.2944683,1.8414296,,,
0,1.0699248,,,1.0699248,1.1795784,,,
0,0.2392524,,,0.2392524,0.8824798,,,
0,0.3071817,,,0.3071817,0.7483322,,,
1,0.4118127,,,0.4118127,0.6381962,,,
0,1.3244084,,,1.3244084,0.7974352,,,
0,1.3029856,,,1.3029856,0.781637,,,
0,0.5001419,,,0.5001419,1.0270839,,,
1,0.25447,,,0.25447,0.416536,,,
0,0.33567,,,0.33567,0.9650108,,,
0,0.5643936,,,0.5643936,0.3908941,,,
0,0.3822702,,,0.3822702,0.4530605,,,
1,0.2977132,,,0.2977132,1.7621386,,,
0,1.0405732,,,1.0405732,1.9399037,,,
0,0.2540367,,,0.2540367,1.0534476,,,
0,0.2768479,,,0.2768479,2.0407929,,,
1,0.3687225,,,0.3687225,1.0991527,,,
0,0.50889,,,0.50889,1.03319,,,
0,0.769418,,,0.769418,2.3492448,,,
0,0.3889761,,,0.3889761,1.6413134,,,
1,0.3378602,,,0.3378602,0.821314,,,
0,0.7890901,,,,,,,
0,1.2423072,,,,,,,
1,1.0536953,,,,,,,
0,2.2852241,,,,,,,
0,1.4270561,,,,,,,
0,0.905589,,,,,,,
0,0.5243575,,,,,,,
0,0.644166,,,,,,,
1,0.6745816,,,,,,,
0,3.8740893,,,,,,,
0,0.8435586,,,,,,,
1,1.0760838,,,,,,,
1,1.6227092,,,,,,,
0,0.9826799,,,,,,,
0,1.5822766,,,,,,,
1,0.6719687,,,,,,,
1,0.7438057,,,,,,,
1,0.782818,,,,,,,
0,1.4573194,,,,,,,
0,0.6138177,,,,,,,
0,0.838036,,,,,,,
0,0.5063723,,,,,,,
1,0.8722501,,,,,,,
0,1.0250008,,,,,,,
0,0.7511318,,,,,,,
0,0.7699512,,,,,,,
0,1.5812148,,,,,,,
0,1.0649789,,,,,,,
0,1.23585,,,,,,,
0,0.8142017,,,,,,,
1,1.4726145,,,,,,,
0,2.3752697,,,,,,,
1,1.7459691,,,,,,,
0,1.0071477,,,,,,,
0,1.3876884,,,,,,,
0,1.4302347,,,,,,,
0,0.5488964,,,,,,,
0,0.9735579,,,,,,,
0,1.8228367,,,,,,,
0,1.4296513,,,,,,,
0,0.6757747,,,,,,,
0,1.2010043,,,,,,,
0,0.2336871,,,,,,,
0,1.003339,,,,,,,
0,0.7337589,,,,,,,
0,0.554299,,,,,,,
0,0.8762742,,,,,,,
1,0.8957421,,,,,,,
1,1.3826023,,,,,,,
1,0.5814867,,,,,,,
0,1.1455149,,,,,,,
1,0.6137729,,,,,,,
1,0.5590316,,,,,,,
0,0.7665291,,,,,,,
0,1.5133394,,,,,,,
1,0.8896395,,,,,,,
1,1.041362,,,,,,,
0,1.2228586,,,,,,,
0,0.7330008,,,,,,,
0,1.7285834,,,,,,,
0,0.9092851,,,,,,,
0,0.89722,,,,,,,
1,1.1320381,,,,,,,
1,0.8776033,,,,,,,
0,1.6619635,,,,,,,
1,1.2734767,,,,,,,
1,0.5528081,,,,,,,
0,0.7831573,,,,,,,
0,1.4334215,,,,,,,
1,1.0797321,,,,,,,
0,1.0351983,,,,,,,
1,1.5433531,,,,,,,
0,1.3643914,,,,,,,
0,1.4196831,,,,,,,
1,1.0968017,,,,,,,
1,0.5525177,,,,,,,
0,0.8423152,,,,,,,
0,0.4343454,,,,,,,
0,0.7722556,,,,,,,
1,1.0175621,,,,,,,
1,0.5802549,,,,,,,
1,0.6830109,,,,,,,
0,1.8563756,,,,,,,
0,2.5913259,,,,,,,
0,1.1201003,,,,,,,
0,1.0962773,,,,,,,
0,2.0708313,,,,,,,
0,1.036545,,,,,,,
0,0.4630975,,,,,,,
0,1.8744025,,,,,,,
0,0.8246193,,,,,,,
1,2.0325358,,,,,,,
0,1.1399263,,,,,,,
0,1.384461,,,,,,,
0,3.3278223,,,,,,,
0,1.4647631,,,,,,,
1,0.833369,,,,,,,
1,0.3841796,,,,,,,
0,2.9590006,,,,,,,
1,2.9398125,,,,,,,
0,1.0225672,,,,,,,
0,1.279233,,,,,,,
1,1.2190448,,,,,,,
1,0.7146142,,,,,,,
1,1.1806404,,,,,,,
0,1.2985788,,,,,,,
0,0.7525229,,,,,,,
0,0.8625763,,,,,,,
0,0.7209638,,,,,,,
1,0.8327012,,,,,,,
0,1.0708058,,,,,,,
0,1.6091933,,,,,,,
1,0.6766589,,,,,,,
0,0.9033203,,,,,,,
0,0.9579159,,,,,,,
0,0.5922151,,,,,,,
1,0.8422969,,,,,,,
1,2.1796901,,,,,,,
0,1.819906,,,,,,,
0,1.0336032,,,,,,,
0,2.3137784,,,,,,,
0,1.5730298,,,,,,,
0,1.0962071,,,,,,,
0,1.6082845,,,,,,,
0,1.5074358,,,,,,,
0,2.2076533,,,,,,,
0,1.1641987,,,,,,,
0,1.125937,,,,,,,
0,1.0105996,,,,,,,
0,0.6972884,,,,,,,
0,1.0338628,,,,,,,
0,0.9033149,,,,,,,
0,0.9526396,,,,,,,
0,0.9061445,,,,,,,
0,1.1028607,,,,,,,
0,1.0062271,,,,,,,
0,0.7233131,,,,,,,
0,1.1078839,,,,,,,
0,1.4108838,,,,,,,
1,0.8059435,,,,,,,
1,0.9882452,,,,,,,
1,1.9354145,,,,,,,
0,2.4519238,,,,,,,
0,1.4362087,,,,,,,
0,1.6997637,,,,,,,
0,1.7206491,,,,,,,
0,0.9611445,,,,,,,
0,2.2354917,,,,,,,
1,1.1804786,,,,,,,
1,0.7411464,,,,,,,
0,2.7046557,,,,,,,
0,1.1826877,,,,,,,
0,3.8552235,,,,,,,
0,1.2962044,,,,,,,
0,0.8054694,,,,,,,
0,2.0475183,,,,,,,
0,4.0201633,,,,,,,
0,1.1118584,,,,,,,
0,0.9502062,,,,,,,
0,0.7428066,,,,,,,
1,1.0796226,,,,,,,
1,0.7597285,,,,,,,
0,1.3131314,,,,,,,
1,0.6739182,,,,,,,
0,1.1278149,,,,,,,
0,0.8362398,,,,,,,
0,1.1986847,,,,,,,
0,1.5386836,,,,,,,
0,0.995302,,,,,,,
0,0.8656768,,,,,,,
0,1.1967311,,,,,,,
0,2.6569703,,,,,,,
1,1.8743469,,,,,,,
0,3.233266,,,,,,,
1,1.3086654,,,,,,,
0,1.4017604,,,,,,,
0,1.3339513,,,,,,,
0,0.5734269,,,,,,,
1,3.0980865,,,,,,,
0,1.8414296,,,,,,,
0,1.1795784,,,,,,,
1,0.8824798,,,,,,,
0,0.7483322,,,,,,,
1,0.6381962,,,,,,,
1,0.7974352,,,,,,,
0,0.781637,,,,,,,
0,1.0270839,,,,,,,
0,0.416536,,,,,,,
0,0.9650108,,,,,,,
0,0.3908941,,,,,,,
0,0.4530605,,,,,,,
0,1.7621386,,,,,,,
0,1.9399037,,,,,,,
1,1.0534476,,,,,,,
0,2.0407929,,,,,,,
0,1.0991527,,,,,,,
0,1.03319,,,,,,,
1,2.3492448,,,,,,,
1,1.6413134,,,,,,,
0,0.821314,,,,,,,
